STATION_ID,STATION,STATE,LATITUDE,LONGITUDE,ELEVATION
KABR,ABERDEEN,SD,45.45583,-98.41306,1302
KENX,ALBANY,NY,42.58639,-74.06444,1826
KABX,ALBUQUERQUE,NM,35.14972,-106.82333,5870
KFDR,ALTUS AFB,OK,34.36222,-98.97611,1267
KAMA,AMARILLO,TX,35.23333,-101.70889,3587
KFFC,ATLANTA,GA,33.36333,-84.56583,858
KEWX,AUSTIN SAN ANTONIO,TX,29.70361,-98.02806,633
KBBX,BEALE AFB,CA,39.49611,-121.63167,173
KBLX,BILLINGS,MT,45.85389,-108.60611,3598
KBGM,BINGHAMTON,NY,42.19972,-75.985,1606
KBMX,BIRMINGHAM,AL,33.17194,-86.76972,645
KBIS,BISMARCK,ND,46.77083,-100.76028,1658
KCBX,BOISE,ID,43.49083,-116.23444,3061
KBOX,BOSTON,MA,41.95583,-71.1375,118
KBRO,BROWNSVILLE,TX,25.91556,-97.41861,23
KBUF,BUFFALO,NY,42.94861,-78.73694,693
KCXX,BURLINGTON,VT,44.51111,-73.16639,317
KFDX,CANNON AFB,NM,34.63528,-103.62944,4650
KICX,CEDAR CITY,UT,37.59083,-112.86222,10600
KCLX,CHARLESTON,SC,32.65556,-81.04222,97
KRLX,CHARLESTON,WV,38.31194,-81.72389,1080
KCYS,CHEYENNE,WY,41.15194,-104.80611,6128
KLOT,CHICAGO,IL,41.60444,-88.08472,663
KILN,CINCINNATI,OH,39.42028,-83.82167,1056
KCLE,CLEVELAND,OH,41.41306,-81.86,763
KCAE,COLUMBIA,SC,33.94861,-81.11861,231
KGWX,COLUMBUS AFB,MS,33.89667,-88.32889,476
KCRP,CORPUS CHRISTI,TX,27.78389,-97.51083,45
KFWS,DALLAS,TX,32.57278,-97.30278,683
KDVN,DAVENPORT,IA,41.61167,-90.58083,754
KFTG,DENVER FRONT RANGE AP,CO,39.78667,-104.54528,5497
KDMX,DES MOINES,IA,41.73111,-93.72278,981
KDTX,DETROIT,MI,42.69972,-83.47167,1072
KDDC,DODGE CITY,KS,37.76083,-99.96833,2590
KDOX,DOVER AFB,DE,38.82556,-75.44,50
KDLH,DULUTH,MN,46.83694,-92.20972,1428
KDYX,DYESS AFB,TX,32.53833,-99.25417,1517
KEYX,EDWARDS,CA,35.09778,-117.56,2757
KEVX,EGLIN AFB,FL,30.56417,-85.92139,140
KEPZ,EL PASO,NM,31.87306,-106.6975,4104
KLRX,ELKO,NV,40.73972,-116.80278,6744
KBHX,EUREKA,CA,40.49833,-124.29194,2402
KVWX,EVANSVILLE,IN,38.26,-87.7247,122
KFSX,FLAGSTAFF,AZ,34.57444,-111.19833,2262
KHPX,FT CAMPBELL,KY,36.73667,-87.285,576
KTYX,FT DRUM,NY,43.75583,-75.68,1846
KGRK,FT HOOD,TX,30.72167,-97.38278,538
KPOE,FT POLK,LA,31.15528,-92.97583,408
KEOX,FT RUCKER,AL,31.46028,-85.45944,434
KSRX,FT SMITH,AR,35.29056,-94.36167,192
KIWX,FT WAYNE,IN,41.40861,-85.7,960
KAPX,GAYLORD,MI,44.90722,-84.71972,1464
KGGW,GLASGOW,MT,48.20639,-106.62417,2276
KGLD,GOODLAND,KS,39.36694,-101.7,3651
KMVX,GRAND FORKS,ND,47.52806,-97.325,986
KGJX,GRAND JUNCTION,CO,39.06222,-108.21306,9992
KGRR,GRAND RAPIDS,MI,42.89389,-85.54472,778
KTFX,GREAT FALLS,MT,47.45972,-111.38444,3714
KGRB,GREEN BAY,WI,44.49833,-88.11111,682
KGSP,GREER,SC,34.88306,-82.22028,940
KUEX,HASTINGS,NE,40.32083,-98.44167,1976
KHDX,HOLLOMAN AFB,NM,33.07639,-106.12222,4222
KCBW,HOULTON,ME,46.03917,-67.80694,746
KHGX,HOUSTON,TX,29.47194,-95.07889,18
KHTX,HUNTSVILLE,AL,34.93056,-86.08361,1760
KIND,INDIANAPOLIS,IN,39.7075,-86.28028,790
KJKL,JACKSON,KY,37.59083,-83.31306,1364
KDGX,JACKSON BRANDON,MS,32.28,-89.98444,152
KJAX,JACKSONVILLE,FL,30.48444,-81.70194,33
KEAX,KANSAS CITY,MO,38.81028,-94.26417,995
KBYX,KEY WEST,FL,24.59694,-81.70333,8
KMRX,KNOXVILLE,TN,36.16833,-83.40194,1337
KARX,LA CROSSE,WI,43.82278,-91.19111,1276
KLCH,LAKE CHARLES,LA,30.125,-93.21583,13
KLGX,LANGLEY HILL NW WASHIN,WA,47.1158,-124.1069,252
KESX,LAS VEGAS,NV,35.70111,-114.89139,4867
KDFX,LAUGHLIN AFB,TX,29.2725,-100.28028,1131
KILX,LINCOLN,IL,40.15056,-89.33667,582
KLZK,LITTLE ROCK,AR,34.83639,-92.26194,568
KVTX,LOS ANGELES,CA,34.41167,-119.17861,2726
KLVX,LOUISVILLE,KY,37.97528,-85.94389,719
KLBB,LUBBOCK,TX,33.65417,-101.81361,3259
KMQT,MARQUETTE,MI,46.53111,-87.54833,1411
KMXX,MAXWELL AFB,AL,32.53667,-85.78972,400
KMAX,MEDFORD,OR,42.08111,-122.71611,7513
KMLB,MELBOURNE,FL,28.11306,-80.65444,35
KMLB,MELBOURNE,FL,28.11306,-80.65444,99
KNQA,MEMPHIS,TN,35.34472,-89.87333,282
KAMX,MIAMI,FL,25.61056,-80.41306,14
KMAF,MIDLAND ODESSA,TX,31.94333,-102.18889,2868
KMKX,MILWAUKEE,WI,42.96778,-88.55056,958
KMPX,MINNEAPOLIS,MN,44.84889,-93.56528,946
KMBX,MINOT AFB,ND,48.3925,-100.86444,1493
KMSX,MISSOULA,MT,47.04111,-113.98611,7855
KMOB,MOBILE,AL,30.67944,-88.23972,208
KVAX,MOODY AFB,GA,30.89,-83.00194,178
KMHX,MOREHEAD CITY,NC,34.77583,-76.87639,31
KOHX,NASHVILLE,TN,36.24722,-86.5625,579
KLIX,NEW ORLEANS,LA,30.33667,-89.82528,24
KOKX,NEW YORK CITY,NY,40.86556,-72.86444,85
KAKQ,NORFOLK RICH,VA,36.98389,-77.0075,112
KLNX,NORTH PLATTE,NE,41.95778,-100.57583,2970
KTLX,OKLAHOMA CITY,OK,35.33306,-97.2775,1213
KOAX,OMAHA,NE,41.32028,-96.36639,1148
KPAH,PADUCAH,KY,37.06833,-88.77194,392
KPDT,PENDLETON,OR,45.69056,-118.85278,1515
KDIX,PHILADELPHIA,NJ,39.94694,-74.41111,149
KIWA,PHOENIX,AZ,33.28917,-111.66917,1353
KPBZ,PITTSBURGH,PA,40.53167,-80.21833,1185
KSFX,POCATELLO,ID,43.10583,-112.68528,4474
KGYX,PORTLAND,ME,43.89139,-70.25694,409
KRTX,PORTLAND,OR,45.715,-122.96417,463
KPUX,PUEBLO,CO,38.45944,-104.18139,5249
KRAX,RALEIGH DURHAM,NC,35.66528,-78.49,348
KUDX,RAPID CITY,SD,44.125,-102.82944,3016
KRGX,RENO,NV,39.75417,-119.46111,8299
KRIW,RIVERTON,WY,43.06611,-108.47667,5568
KFCX,ROANOKE,VA,37.02417,-80.27417,2868
KJGX,ROBINS AFB,GA,32.675,-83.35111,521
KDAX,SACRAMENTO,CA,38.50111,-121.67667,30
KMTX,SALT LAKE CITY,UT,41.26278,-112.44694,6460
KSJT,SAN ANGELO,TX,31.37111,-100.49222,1890
KNKX,SAN DIEGO,CA,32.91889,-117.04194,955
KMUX,SAN FRANCISCO,CA,37.15528,-121.8975,3469
KHNX,SAN JOAQUIN VALLEY,CA,36.31417,-119.63111,243
KSOX,SANTA ANNA MOUNTAINS,CA,33.81778,-117.635,3027
KATX,SEATTLE,WA,48.19472,-122.49444,494
KSHV,SHREVEPORT,LA,32.45056,-93.84111,273
KFSD,SIOUX FALLS,SD,43.58778,-96.72889,1430
KOTX,SPOKANE,WA,47.68056,-117.62583,2384
KSGF,SPRINGFIELD,MO,37.23528,-93.40028,1278
KLSX,ST LOUIS,MO,38.69889,-90.68278,608
KCCX,STATE COLLEGE,PA,40.92306,-78.00389,2405
KLWX,STERLING,VA,38.97628,-77.48751,88
KLWX,STERLING,VA,38.97528,-77.47806,272
KTLH,TALLAHASSEE,FL,30.3975,-84.32889,63
KTBW,TAMPA,FL,27.70528,-82.40194,41
KTWX,TOPEKA,KS,38.99694,-96.2325,1367
KEMX,TUCSON,AZ,31.89361,-110.63028,5202
KINX,TULSA,OK,36.175,-95.56444,668
KVNX,VANCE AFB,OK,36.74083,-98.1275,1210
KVBX,VANDENBERG AFB,CA,34.83806,-120.39583,1233
KICT,WICHITA,KS,37.65444,-97.4425,1335
KLTX,WILMINGTON,NC,33.98917,-78.42917,64
KYUX,YUMA,AZ,32.49528,-114.65583,174